,X,Y,month,day,FFMC,DMC,DC,ISI,temp,RH,wind,rain,area
139,1,4,1,1,91.0,129.5,692.6,7.0,21.7,38,2.2,0.0,0.43
140,2,5,1,2,90.9,126.5,686.5,7.0,21.9,39,1.8,0.0,0.47
144,2,5,2,3,95.5,99.9,513.3,13.2,23.8,32,5.4,0.0,0.77
145,6,5,2,4,95.2,131.7,578.8,10.4,27.4,22,4.0,0.0,0.9
149,8,6,1,4,93.7,80.9,685.2,17.9,23.7,25,4.5,0.0,1.12
150,6,5,3,5,92.5,56.4,433.3,7.1,23.2,39,5.4,0.0,1.19
152,3,4,4,6,90.1,51.2,424.1,6.2,24.6,43,1.8,0.0,1.43
153,5,4,1,5,94.3,85.1,692.3,15.9,20.1,47,4.9,0.0,1.46
154,1,5,1,6,93.4,145.4,721.4,8.1,29.6,27,2.7,0.0,1.46
155,7,4,2,7,94.8,108.3,647.1,17.0,16.4,47,1.3,0.0,1.56
156,2,4,1,6,93.4,145.4,721.4,8.1,28.6,27,2.2,0.0,1.61
158,2,4,2,3,92.1,111.2,654.1,9.6,20.5,35,4.0,0.0,1.64
159,7,4,1,5,92.4,117.9,668.0,12.2,19.0,34,5.8,0.0,1.69
161,6,4,2,4,95.2,131.7,578.8,10.4,20.3,41,4.0,0.0,1.9
163,8,6,1,6,92.5,121.1,674.4,8.6,17.8,56,1.8,0.0,1.95
164,8,5,1,7,89.7,90.0,704.4,4.8,17.8,67,2.2,0.0,2.01
166,6,5,2,3,92.1,111.2,654.1,9.6,16.6,47,0.9,0.0,2.29
167,6,5,2,3,96.0,127.1,570.5,16.5,23.4,33,4.5,0.0,2.51
169,8,6,2,4,95.2,131.7,578.8,10.4,20.7,45,2.2,0.0,2.55
170,5,4,1,3,92.9,133.3,699.6,9.2,21.9,35,1.8,0.0,2.57
172,7,4,2,7,91.4,142.4,601.4,10.6,20.1,39,5.4,0.0,2.74
173,4,4,1,2,90.9,126.5,686.5,7.0,17.7,39,2.2,0.0,3.07
174,1,4,2,6,90.2,96.9,624.2,8.9,14.2,53,1.8,0.0,3.5
175,1,4,2,6,90.2,96.9,624.2,8.9,20.3,39,4.9,0.0,4.53
177,2,5,2,7,90.2,99.6,631.2,6.3,19.2,44,2.7,0.0,4.69
178,2,5,1,3,90.1,82.9,735.7,6.2,18.3,45,2.2,0.0,4.88
179,8,6,2,1,88.8,147.3,614.5,9.0,14.4,66,5.4,0.0,5.23
180,1,3,1,7,92.4,124.1,680.7,8.5,23.9,32,6.7,0.0,5.33
183,7,4,5,2,91.7,48.5,696.1,11.1,16.8,45,4.5,0.0,6.83
184,8,6,2,5,93.9,135.7,586.7,15.1,20.8,34,4.9,0.0,6.96
185,2,5,1,1,91.0,129.5,692.6,7.0,17.6,46,3.1,0.0,7.04
187,1,5,1,2,90.9,126.5,686.5,7.0,21.0,42,2.2,0.0,7.3
191,2,5,2,4,95.2,131.7,578.8,10.4,24.2,28,2.7,0.0,8.68
193,4,5,1,3,92.9,133.3,699.6,9.2,24.3,25,4.0,0.0,9.41
195,2,5,2,5,93.9,135.7,586.7,15.1,23.5,36,5.4,0.0,10.02
197,4,5,1,4,92.9,137.0,706.4,9.2,21.5,15,0.9,0.0,11.06
198,3,4,1,1,91.0,129.5,692.6,7.0,13.9,59,6.3,0.0,11.24
200,1,5,1,1,91.0,129.5,692.6,7.0,21.6,33,2.2,0.0,11.53
203,8,6,5,3,91.4,37.9,673.8,5.2,20.2,37,2.7,0.0,13.7
205,4,5,1,4,92.9,137.0,706.4,9.2,22.1,34,1.8,0.0,14.57
207,7,5,1,1,91.0,129.5,692.6,7.0,20.7,37,2.2,0.0,17.2
208,6,5,1,5,92.4,117.9,668.0,12.2,19.6,33,6.3,0.0,19.23
209,8,3,1,4,93.7,80.9,685.2,17.9,23.2,26,4.9,0.0,23.41
210,4,4,5,6,90.6,43.7,686.9,6.7,18.4,25,3.1,0.0,24.23
212,7,4,1,5,94.3,85.1,692.3,15.9,20.1,47,4.9,0.0,26.13
216,4,4,1,7,92.4,124.1,680.7,8.5,16.9,60,1.3,0.0,29.48
217,1,3,1,2,88.6,91.8,709.9,7.1,12.4,73,6.3,0.0,30.32
218,4,5,1,3,92.9,133.3,699.6,9.2,19.4,19,1.3,0.0,31.72
220,8,6,2,7,90.2,99.6,631.2,6.3,16.2,59,3.1,0.0,32.07
242,2,4,2,7,94.2,122.3,589.9,12.9,15.4,66,4.0,0.0,10.13
244,2,4,2,7,91.8,175.1,700.7,13.8,22.4,54,7.6,0.0,2.87
245,3,4,2,7,91.8,175.1,700.7,13.8,26.8,38,6.3,0.0,0.76
246,5,4,2,7,91.8,175.1,700.7,13.8,25.7,39,5.4,0.0,0.09
247,2,4,2,3,92.2,91.6,503.6,9.6,20.7,70,2.2,0.0,0.75
249,3,4,2,3,93.1,157.3,666.7,13.5,21.7,40,0.4,0.0,2.47
250,8,5,2,3,93.1,157.3,666.7,13.5,26.8,25,3.1,0.0,0.68
251,8,5,2,3,93.1,157.3,666.7,13.5,24.0,36,3.1,0.0,0.24
252,6,5,2,3,93.1,157.3,666.7,13.5,22.1,37,3.6,0.0,0.21
253,7,4,2,4,91.9,109.2,565.5,8.0,21.4,38,2.7,0.0,1.52
254,6,3,2,4,91.6,138.1,621.7,6.3,18.9,41,3.1,0.0,10.34
256,8,6,2,6,94.2,117.2,581.1,11.0,23.9,41,2.2,0.0,8.02
257,4,3,2,6,94.2,117.2,581.1,11.0,21.4,44,2.7,0.0,0.68
259,7,4,2,6,91.8,170.9,692.3,13.7,23.7,40,1.8,0.0,1.38
260,2,4,2,2,93.6,97.9,542.0,14.4,28.3,32,4.0,0.0,8.85
262,2,4,2,5,91.6,112.4,573.0,8.9,21.4,42,3.1,0.0,4.25
263,6,3,2,5,91.1,141.1,629.1,7.1,19.3,39,3.6,0.0,1.56
264,4,4,2,5,94.3,167.6,684.4,13.0,21.8,53,3.1,0.0,6.54
265,4,4,2,1,93.7,102.2,550.3,14.6,22.1,54,7.6,0.0,0.79
269,4,4,2,1,92.1,152.6,658.2,14.3,19.1,53,2.7,0.0,4.4
271,8,6,2,1,92.1,152.6,658.2,14.3,20.1,58,4.5,0.0,9.27
272,2,5,2,1,92.1,152.6,658.2,14.3,20.2,47,4.0,0.0,3.09
291,9,4,4,6,91.6,104.2,474.9,9.0,25.3,39,0.9,0.0,8.0
292,4,5,4,5,91.6,100.2,466.3,6.3,22.9,40,1.3,0.0,2.64
294,8,6,4,1,92.3,88.8,440.9,8.5,17.1,67,3.6,0.0,6.57
296,6,4,3,7,90.4,89.5,290.8,6.4,14.3,46,1.8,0.0,0.9
301,6,5,3,2,90.4,93.3,298.1,7.5,19.1,39,5.4,0.0,3.52
306,7,4,1,7,89.6,84.1,714.3,5.7,17.1,53,5.4,0.0,0.41
307,3,4,1,7,89.6,84.1,714.3,5.7,23.8,35,3.6,0.0,5.18
311,6,3,1,7,92.4,105.8,758.1,9.9,24.8,28,1.8,0.0,14.29
314,4,4,1,3,92.6,115.4,777.1,8.8,19.7,41,1.8,0.0,1.58
317,4,4,1,4,92.4,96.2,739.4,8.6,19.2,24,4.9,0.0,3.78
319,5,4,1,4,92.8,119.0,783.5,7.5,21.6,28,6.3,0.0,4.41
320,6,3,1,4,92.8,119.0,783.5,7.5,18.9,34,7.2,0.0,34.36
321,1,4,1,4,92.8,119.0,783.5,7.5,16.8,28,4.0,0.0,7.21
322,6,5,1,4,92.8,119.0,783.5,7.5,16.8,28,4.0,0.0,1.01
323,3,5,1,4,90.7,136.9,822.8,6.8,12.9,39,2.7,0.0,2.18
324,6,5,1,4,88.1,53.3,726.9,5.4,13.7,56,1.8,0.0,4.42
329,4,3,1,6,92.2,102.3,751.5,8.4,23.5,27,4.0,0.0,3.33
330,3,3,1,6,92.2,102.3,751.5,8.4,24.2,27,3.1,0.0,6.58
331,7,4,1,6,91.2,124.4,795.3,8.5,21.5,28,4.5,0.0,15.64
332,4,4,1,6,91.2,124.4,795.3,8.5,17.1,41,2.2,0.0,11.22
333,1,4,1,2,92.1,87.7,721.1,9.5,18.1,54,3.1,0.0,2.13
338,8,6,1,2,91.6,108.4,764.0,6.2,22.7,35,2.2,0.0,7.48
339,2,4,1,2,91.6,108.4,764.0,6.2,20.4,41,1.8,0.0,1.47
340,2,5,1,2,91.6,108.4,764.0,6.2,19.3,44,2.2,0.0,3.93
343,8,6,1,2,91.5,130.1,807.1,7.5,15.9,51,4.5,0.0,2.18
344,6,3,1,2,91.5,130.1,807.1,7.5,12.2,66,4.9,0.0,6.1
346,1,4,1,2,91.5,130.1,807.1,7.5,21.3,35,2.2,0.0,28.19
349,5,4,1,5,92.1,99.0,745.3,9.6,12.8,64,3.6,0.0,1.64
350,5,4,1,5,92.1,99.0,745.3,9.6,10.1,75,3.6,0.0,3.71
351,4,4,1,5,92.1,99.0,745.3,9.6,15.4,53,6.3,0.0,7.31
352,7,4,1,5,92.1,99.0,745.3,9.6,20.6,43,3.6,0.0,2.03
353,7,4,1,5,92.1,99.0,745.3,9.6,19.8,47,2.7,0.0,1.72
354,7,4,1,5,92.1,99.0,745.3,9.6,18.7,50,2.2,0.0,5.97
355,4,4,1,5,92.1,99.0,745.3,9.6,20.8,35,4.9,0.0,13.06
356,4,4,1,5,92.1,99.0,745.3,9.6,20.8,35,4.9,0.0,1.26
359,1,4,1,5,92.5,122.0,789.7,10.2,21.1,39,2.2,0.0,8.12
360,6,5,1,5,92.5,122.0,789.7,10.2,18.4,42,2.2,0.0,1.09
361,4,3,1,5,92.5,122.0,789.7,10.2,17.3,45,4.0,0.0,3.94
362,7,4,1,5,88.2,55.2,732.3,11.6,15.2,64,3.1,0.0,0.52
363,4,3,1,1,91.9,111.7,770.3,6.5,15.9,53,2.2,0.0,2.93
364,6,5,1,1,91.9,111.7,770.3,6.5,21.1,35,2.7,0.0,5.65
365,6,5,1,1,91.9,111.7,770.3,6.5,19.6,45,3.1,0.0,20.03
366,4,5,1,1,91.1,132.3,812.1,12.5,15.9,38,5.4,0.0,1.75
368,6,5,1,6,91.2,94.3,744.4,8.4,16.8,47,4.9,0.0,12.64
380,5,4,4,3,93.7,101.3,458.8,11.9,19.3,39,7.2,0.0,7.73
381,8,6,2,4,90.7,194.1,643.0,6.8,16.2,63,2.7,0.0,16.33
382,8,6,2,3,95.2,217.7,690.0,18.0,28.2,29,1.8,0.0,5.86
385,2,4,2,7,91.6,181.3,613.0,7.6,20.9,50,2.2,0.0,16.0
386,3,4,1,7,90.5,96.7,750.5,11.4,20.6,55,5.4,0.0,24.59
388,6,4,2,5,94.8,227.0,706.7,12.0,23.3,34,3.1,0.0,28.74
391,8,6,1,5,91.1,91.3,738.1,7.2,20.7,46,2.7,0.0,30.18
396,4,3,1,7,90.5,96.7,750.5,11.4,20.4,55,4.9,0.0,3.64
397,5,6,2,7,91.6,181.3,613.0,7.6,24.3,33,3.6,0.0,3.63
400,9,5,3,3,93.3,49.5,297.7,14.0,28.0,34,4.5,0.0,8.16
401,3,4,1,4,91.1,88.2,731.7,8.3,22.8,46,4.0,0.0,4.95
404,2,4,1,3,87.9,84.8,725.1,3.7,21.8,34,2.2,0.0,6.04
412,9,4,4,2,92.3,92.1,442.1,9.8,22.8,27,4.5,0.0,1.63
416,6,3,4,1,92.7,164.1,575.8,8.9,26.3,39,3.1,0.0,7.02
418,2,4,2,7,92.0,203.2,664.5,8.1,24.9,42,5.4,0.0,2.44
419,2,5,2,7,91.6,181.3,613.0,7.6,24.8,36,4.0,0.0,3.05
423,1,3,1,6,91.2,94.3,744.4,8.4,22.3,48,4.0,0.0,0.72
427,2,4,2,2,92.1,207.0,672.6,8.2,27.9,33,2.2,0.0,2.35
429,3,4,2,7,91.6,181.3,613.0,7.6,24.6,44,4.0,0.0,3.2
431,1,3,2,6,92.1,178.0,605.3,9.6,23.3,40,4.0,0.0,6.36
436,8,6,2,2,92.1,207.0,672.6,8.2,26.8,35,1.3,0.0,0.54
439,1,3,1,5,91.1,91.3,738.1,7.2,19.1,46,2.2,0.0,0.33
441,8,6,2,2,92.1,207.0,672.6,8.2,25.5,29,1.8,0.0,1.23
450,4,5,2,3,95.2,217.7,690.0,18.0,23.4,49,5.4,0.0,6.43
472,8,3,3,2,88.2,96.2,229.0,4.7,14.3,79,4.0,0.0,1.94
474,4,3,3,4,93.0,103.8,316.7,10.8,26.4,35,2.7,0.0,10.08
476,4,3,4,4,93.5,85.3,395.0,9.9,27.2,28,1.3,0.0,1.76
477,4,3,4,7,93.7,101.3,423.4,14.7,26.1,45,4.0,0.0,7.36
478,7,4,4,7,93.7,101.3,423.4,14.7,18.2,82,4.5,0.0,2.21
482,3,4,2,7,94.9,130.3,587.1,14.1,23.4,40,5.8,0.0,1.29
484,2,5,2,7,94.9,130.3,587.1,14.1,33.1,25,4.0,0.0,26.43
486,5,4,2,1,95.1,141.3,605.8,17.7,24.1,43,6.3,0.0,2.0
487,5,4,2,1,95.1,141.3,605.8,17.7,26.4,34,3.6,0.0,16.4
494,6,6,2,6,96.0,164.0,643.0,14.0,30.8,30,4.9,0.0,8.59
496,4,5,2,2,96.2,175.5,661.8,16.8,32.6,26,3.1,0.0,2.77
497,3,4,2,1,96.1,181.1,671.2,14.3,32.3,27,2.2,0.0,14.68
510,6,5,2,5,91.0,166.9,752.6,7.1,18.2,62,5.4,0.0,0.43
